"Michael R. Hostick, II, Michael D. Charles","Raymond James","Oppenheimer","$0","01-28-2015"
"James Winkler, Lauren Johnson, Randi Richardson","RBC Wealth Management","UBS Financial Services","$195","01-28-2015"
"Rob Torrington","Raymond James","UBS Financial Services","$103","01-28-2015"
"Robert E. Feldman, Donna G. Bowler ","Snowden Lane Partners","Bank of America Merrill Lynch","$225","01-26-2015"
"Mahmoud El Awadi","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$50","01-26-2015"
"Robert S. Tremlett","Waddell and Reed","Charles Schwab","$60","01-22-2015"
"Chad A. Tom, Wayne Wycoff","Stratos Wealth Partners","Huntington Investments","$0","01-22-2015"
"Pat Callaghan, Alan Fishman, Bernard Neuman, Jonathan Neuman, Tom Puccinelli, Stan Slovin, Lisa Su, Irene Kapusciarz, Melissa Vald","Wells Fargo Advisors","Morgan Stanley Wealth Management","$700","01-22-2015"
"Brandon K. Cass","SagePoint Financial","Crowell, Weedon & Co.","$65","01-22-2015"
"John P. Barringer","First Financial Equity Corporation","Morgan Stanley Wealth Management","$100","01-22-2015"
"Luigi Mazza","Raymond James","Morgan Stanley Wealth Management","$85","01-22-2015"
"Eric T. Pressman","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$75","01-22-2015"
"William D. Burke","Lebenthal Wealth Advisors","Morgan Stanley Wealth Management","$0","01-22-2015"
"Michael Crossley, Roger Blackmar","Wunderlich Securities","Morgan Stanley Wealth Management","$125","01-22-2015"
"Timothy Metcalf, Robert Pinto ","Stifel Nicolaus & Co.","Wells Fargo Advisors","$255","01-22-2015"
"Joel P. Feldman","Raymond James","UBS Financial Services","$188","01-15-2015"
"Patrick Yates, Carole Yates, Donna Calkin","Raymond James","UBS Financial Services","$120","01-12-2015"
"Danielle Blunt","Raymond James","Edward Jones","$114","01-12-2015"
"Katherine Traver, Michael L. Gardner","Raymond James","RBC Wealth Management","$185","01-12-2015"
"Emmett Towey, Michael Cantore III","Hightower Advisors","UBS Financial Services","$550","01-09-2015"
"Charles M. Haynor","United Capital","Rayner & Haynor Investment Counselors","$185","01-06-2015"
"Daniel Honan","Janney Montgomery Scott","Bank of America Merrill Lynch","$0","01-06-2015"
"Raymond E. Ifert, Lorraine M. Faedo","Raymond James","BNY Mellon","$850","01-06-2015"
"Shahmir Moussavi ","Wells Fargo Advisors","UBS Financial Services","$125","01-06-2015"
"Dennis Shapses, David Cuellar","Wells Fargo Advisors","Morgan Stanley Wealth Management","$240","01-06-2015"
"Dale Waters","Bank of America Merrill Lynch","UBS Financial Services","$185","01-05-2015"
"Douglas G. Conklin","Hightower Advisors","Bank of America Merrill Lynch","$225","01-05-2015"
"L. Vincent Elliott, Carey Cooney, Shannon McCue","Dynasty Financial Partners","Deutsche Bank","$250","01-05-2015"
"Scott Neff","Ameriprise Financial","Morgan Stanley Wealth Management","$116","01-05-2015"
"Brooks Staples","Ameriprise Financial","U.S. Bancorp Investments","$69","01-05-2015"
"Mark Frederick, Timothy Breitfelder, Larry Eggers","Ameriprise Financial","U.S. Bancorp Investments","$213","01-05-2015"
"Conor Weir, Sophois Sokhom ","Retirement Benefits Group","Bank of America Merrill Lynch","$60","01-05-2015"
"John E. Fitch, III, Marsha Werner, Pamela Appell, Penny Tipsword","Raymond James","Wells Fargo Advisors","$110","01-05-2015"
"John L. Greene","UBS Financial Services","Bank of America Merrill Lynch","$63","12-22-2014"
"Margaret M. Towle","Bank of America Merrill Lynch","Hightower Advisors","$0","12-19-2014"
"Farid Farhoumand, Ali Farhoumand ","Next Financial","H. Beck, Inc.","$362","12-19-2014"
"Craig A. Houck, Richard L. Schooley, Jr., Alyssa Donaldson","Raymond James","Morgan Stanley Wealth Management","$300","12-19-2014"
"Byron Ellis","United Capital","Ameriprise Financial","$500","12-15-2014"
"Robert D. Walsh, Travis C. Jaggers ","Raymond James","Wells Fargo Advisors","$116","12-15-2014"
"Brian M. Gedonius","HighPoint Planning Partners","Morgan Stanley Wealth Management","$0","12-15-2014"
"Erwin Bry, Terry Bry, Lori Fugate","Raymond James","Wells Fargo Advisors","$220","12-12-2014"
"Charles D. Day","UBS Financial Services","Morgan Stanley Wealth Management","$181","12-12-2014"
"Annette Hall, Charlene Fisher ","Lebenthal Wealth Advisors","Key Private Bank","$193","12-12-2014"
"David Gunter","Raymond James","Stifel Nicolaus & Co.","$191","12-10-2014"
"Mario Fratto","Bank of America Merrill Lynch","Citigroup","$153","12-10-2014"
"Heath McGallion, Christopher Davis, Stan Davis, Hugh Hawkins ","Bank of America Merrill Lynch","UBS Financial Services","$395","12-10-2014"
"James E. Percifield, David C. Heeren, Brad A. Harder","Wells Fargo Advisors","UBS Financial Services","$463","12-10-2014"
"Brian Pierson, Stephen Aucamp, Samantha Dean, Brad Lackey","Presidio Capital Advisors","City National Securities","$0","12-08-2014"
"David Yucius, Jr., Michael T. Doyle","Lebenthal Asset Management","Aurora Investment Counsel","$250","12-08-2014"
"Howard Franzblau, Richard A. Devine, Wayne Froud, David B. Brennan, Jason Franzblau, Al Myrie","Raymond James","JPMorgan Chase & Co.","$900","12-08-2014"
"Gwen Garrison","Investacorp","Kovack Securities","$50","12-08-2014"
"Robert McDonald","Ameriprise Financial","Morgan Stanley Wealth Management","$95","12-03-2014"
