"Robert Labriola","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$200","07-17-2014"
"Julie Hupp","HighPoint Planning Partners","Waddell and Reed","$58","07-17-2014"
"Dan E. Wagner, Jr.","Triad Advisors","The Investment Center","$260","07-11-2014"
"Dante Neyra","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$0","07-10-2014"
"Brian Purcell","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$115","07-10-2014"
"Richard Duffy, Russell Kwok","Morgan Stanley Wealth Management","J.P. Morgan Securities LLC","$0","07-10-2014"
"Linda Goodson","Morgan Stanley Wealth Management","Wells Fargo Advisors","$110","07-10-2014"
"Brian Kasal","FourStar Wealth Advisors, LLC","Morgan Stanley","$175","07-09-2014"
"Rob Wiggins","Wells Fargo Advisors","First Citizens Investor Services","$100","07-09-2014"
"Chris Carbone, Bill Brucato","Wells Fargo Advisors","RBC Wealth Management","$160","07-09-2014"
"Mark Pignotti","Wells Fargo Advisors","UBS Financial Services","$317","07-09-2014"
"Thomas Teagle","Wells Fargo Advisors","BB&T Securities","$155","07-09-2014"
"Timothy Colvin, Jeffery Bedford, Gregory Taylor","Wells Fargo Advisors","UBS Financial Services","$326","07-09-2014"
"F. William Van Kirk Jr., F. William Van Kirk III","Stratos Wealth Partners","Stifel Nicolaus & Co.","$108","07-08-2014"
"Henry Hauser","Raymond James","UBS Financial Services","$600","07-08-2014"
"Kenneth Mathieson, Erik Mathieson","Steward Partners Global Advisory","Morgan Stanley Wealth Management","$315","07-08-2014"
"Bill Gear, Ben Buchanan","Wells Fargo Advisors","Bank of America Merrill Lynch","$160","07-08-2014"
"Robert Gardner III, Robert Higley","Wells Fargo Advisors","UBS Financial Services","$300","07-02-2014"
"Bobbie Meola, Kelly Riley, Tonette Echols","Stratos Wealth Partners","Wells Fargo Advisors","$0","06-30-2014"
"Jason Payne","Voya Financial Advisors Partners","Wells Fargo Advisors","$67","06-30-2014"
"Justin T. Adams, Stephen R. Adams","Raymond James","Sterne Agee & Leach","$200","06-27-2014"
"James M. Pucci (Jim), Jason Pucci, James C. Pucci (Jamie) ","Raymond James","Stifel Nicolaus & Co.","$200","06-25-2014"
"Clint Weaver, Joe T. Bozarth III","Stifel Nicolaus & Co.","UBS Financial Services","$170","06-25-2014"
"David Clogg","Investacorp","Chapin Davis","$50","06-25-2014"
"Larry Copeland, Jim Copeland","Voya Financial Advisors Partners","American Portfolios","$55","06-25-2014"
"Richard "Dick" McGalliard, John McHale, Ryan Stewart, Robert Chanin","Stifel Nicolaus & Co.","Raymond James","$490","06-20-2014"
"Phillip Salter","Summit Brokerage Services","LPL Financial","$84","06-20-2014"
"Michael J. Gegen","Robert W. Baird & Co.","RBC Wealth Management","$100","06-20-2014"
"Monty G. Reedy","Robert W. Baird & Co.","RBC Wealth Management","$130","06-20-2014"
"Kevin P. O'Connor, Steve Kiper, Ryan P. O'Connor, Alice Gaughan, Heather R. Powell","First Kentucky Securities Corporation","UBS Financial Services","$430","06-19-2014"
"James Laughlin Sr.","Wells Fargo Advisors","UBS Financial Services","$97","06-18-2014"
"Alan Glick and Charles Glick","Wells Fargo Advisors","Morgan Stanley ","$242","06-18-2014"
"Shawn Gruver","Wells Fargo Advisors","UBS Financial Services","$109","06-18-2014"
"Peter Cleary","RBC Wealth Management","UBS Financial Services","$130","06-13-2014"
"Gary Baumgartner","Ameriprise Financial","Morgan Stanley Wealth Management","$74","06-13-2014"
"Shaena Miller","Ameriprise Financial","WRP Investments","$89","06-13-2014"
"Phillip Anderson","Ameriprise Financial","LPL Financial","$57","06-13-2014"
"Kim Isaacson","Ameriprise Financial","Morgan Stanley Wealth Management","$122","06-13-2014"
"Kirk Tushaus","LaSalle St. Securities","ArMA Financial","$60","06-11-2014"
"Paul Vidovich, Gregory Gonzales, Robert B. Mitchell, Jr., Jacqueline T. Wieland, Phillip Joyce, Michael Planning","Stifel Nicolaus & Co.","Wells Fargo Advisors","$586","06-11-2014"
"Adam N. Phillips","EP Wealth Advisors","City National Bank","$700","06-11-2014"
"John Bueno, John Raetz, Noah Robinson","Wells Fargo Advisors","J.P. Morgan Securities LLC","$1,500","06-11-2014"
"Barre McLeod Butler, Park B. Smith, Jr., W. Hampton Avant, Lucinda Shields","Stifel Nicolaus & Co.","UBS Financial Services","$542","06-11-2014"
"James Clarke, Philip Weyhe","Bank of America Merrill Lynch","Barclays","$285","06-06-2014"
"Nick Ippolito","Voya Financial Advisors Partners","Wells Fargo Advisors","$51","06-04-2014"
"Todd Frediani, Larry Stater","Stifel Nicolaus & Co.","UBS Financial Services","$200","06-04-2014"
"Travis Tucker, Donald Brusca, Stacy Bazylinski","Steward Partners Global Advisory","RPG Family Wealth Advisory ","$120","06-02-2014"
"David Clayman, Francesca Federico","Twelve Points Wealth Management","Morgan Stanley Wealth Management","$100","06-02-2014"
"Dana Webb, Curren Webb","Securities America","Manarin Securities Corporation","$100","06-02-2014"
"Kurt Uzbay","Stifel Nicolaus & Co.","Morgan Stanley Wealth Management","$250","05-30-2014"
"Steve Trimble","UBS Financial Services","Wells Fargo Advisors","$200","05-30-2014"
"Jonathan Lifschutz, David Reed","Securities America","Morgan Stanley Wealth Management","$75","05-30-2014"
"Robert Wood (Bob), Robert Wood, Jr., (Rob), Carlton Brown","Raymond James","Wells Fargo Advisors","$0","05-28-2014"
"Karen Burch","Voya Financial Advisors Partners","Newbridge Securities","$50","05-28-2014"
"Jason Ezzell, Alec Fisher","Hightower Advisors","Bank of America Merrill Lynch","$300","05-27-2014"
"Roger Connell","Commonwealth Financial Network","Wells Fargo Advisors","$59","05-27-2014"
"Joseph Zappia, Ted Garofola ","Focus Financial Partners","Wells Fargo Advisors","$400","05-27-2014"
"Herman L. Rij, Jason B. Cort, Kori Lannon, and Brian C. Cort","Focus Financial Partners","Bank of America Merrill Lynch","$750","05-23-2014"
"David Spell","Wells Fargo Advisors","UBS Financial Services","$86","05-23-2014"
"Milton Schwartz","Wells Fargo Advisors","Bank of America Merrill Lynch","$135","05-23-2014"
"Richard Lee, Brandon Blair, Mike Costa, Barbara Hacke Resch","Wells Fargo Advisors","Morgan Stanley Wealth Management","$311","05-23-2014"
"Joseph M. Esposito, Jr., Keith Kiker","Commonwealth Financial Network","MassMutual Financial Group","$150","05-19-2014"
"Rodger A. Friedman, Joe Wong","Steward Partners Global Advisory","Morgan Stanley Wealth Management","$170","05-19-2014"
"Jeffery Tomaszewski, Gary A. Rigby","Raymond James","Bank of America Merrill Lynch","$280","05-19-2014"
"Robert A. Leggett, James B. Tharin, Clint W. Sorenson","Raymond James","Wells Fargo Advisors; UBS Financial Services","$200","05-14-2014"
"Callen Schramm, Heather Schramm","Stratos Wealth Partners","Bank of America Merrill Lynch","$155","05-14-2014"
"Norman Lev, Glen Sher, Michael Jeshiva","Wells Fargo Advisors","Morgan Stanley Wealth Management","$236","05-13-2014"
"Stephen R. Besse","Raymond James","Morgan Stanley Wealth Management","$360","05-12-2014"
"Gary Polakoff","AWM Global Advisors","Morgan Stanley Wealth Management","$97","05-12-2014"
"Larry E. Jones, Taylor R. Jones","Retirement Benefits Group","Vanguard Capital","$90","05-09-2014"
"Ron Nalven","Investors Capital","Royal Alliance","$52","05-09-2014"
"Scott Studwell","Sterne, Agee & Leach","Keefe, Bruyette & Woods","$217","05-06-2014"
"Matthew T. Griffith","Washington Wealth Management","Bank of America Merrill Lynch","$75","05-06-2014"
"Joel J. Guth, Catherine E. Cory, Angelo Manzo Jr., Judy L. Roseberry","Hightower Advisors","Morgan Stanley Wealth Management","$600","05-06-2014"
"Howard Rowen, Halsey Smith","Bank of America Merrill Lynch","UBS Financial Services; Deutsche Bank","$3,000","05-02-2014"
"Seymour Krinsky, Ken Eidson, Kyle Doege ","RBC Wealth Management","Wells Fargo Advisors","$350","05-02-2014"
"Brian L. Vallow","Wells Fargo Advisors","Morgan Stanley Wealth Management","$93","05-01-2014"
"Stephanie M. Bass, Darin E. Mock","Wells Fargo Advisors","Bank of America Merrill Lynch","$170","05-01-2014"
"Mitch Sivertson, Debbie Hughes","Wells Fargo Advisors","UBS Financial Services ","$152","05-01-2014"
"Kurt Wiegert","NFP Advisor Services Group","Founders Financial","$60","05-01-2014"
"Paul Auslander","NFP Advisor Services Group","Foothill Securities","$70","05-01-2014"
"Markus Byrd","NFP Advisor Services Group","Ameriprise Financial","$50","05-01-2014"
"Garrett J. Devine","NFP Advisor Services Group","Wells Fargo Advisors","$65","05-01-2014"
"David Neunuebel, Lisa Barrantes","Raymond James","Wells Fargo Advisors","$80","05-01-2014"
"John Morgan, Brian Sabo, Jason Edelson ","Hightower Advisors","Wells Fargo Advisors","$384","04-28-2014"
"Mark W. Thatcher, Shad F. Lamm, Chris Risenmay, Ross Biesinger, David Thatcher, Clark Penney, Marc Koven","Integrated Wealth Management","Morgan Stanley Wealth Management","$740","04-28-2014"
"Charles Laverty, Carol Pipitone","Calton & Associates","Oppenheimer","$90","04-24-2014"
"Gerald Saroken","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$116","04-24-2014"
"Brian Saroken","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$193","04-24-2014"
"Joseph H. McAuley, Jr.","Robert W. Baird & Co.","Wells Fargo Advisors","$0","04-14-2014"
"Sean A. Smalley","LPL Financial","Charles Schwab","$75","04-11-2014"
"Steven Guggenheimer, George Zaki","Janney Montgomery Scott","Barclays","$214","04-10-2014"
"Morrie Symson","NFP Advisor Services Group","UBS Financial Services","$0","04-10-2014"
"David Mizrahi","NFP Advisor Services Group","Wells Fargo Advisors","$0","04-10-2014"
"David W. Russell","Voya Financial Advisors Partners","Cetera","$62","04-09-2014"
"Michael Cohen, Benjamin Cohen","Raymond James","J.P. Morgan Securities LLC","$640","04-08-2014"
"Julio Castro, Michael Cozene, Arthur Noderer","Evercore Wealth Management","Suntrust Investment Services","$0","04-07-2014"
"James W. Story","Summit Brokerage Services","First Midwest Securities","$65","04-04-2014"
"David S. Mowatt","Girard Securities","Cetera","$150","04-04-2014"
"Ileana D. Platt","RBC Wealth Management","Barclays Wealth","$240","04-04-2014"
"Gary R. Whinery","Stifel Nicolaus & Co.","Wedbush Securities","$0","04-04-2014"
"Jeffrey M. Fratarcangeli","Wells Fargo Advisors","Bank of America Merrill Lynch","$424","04-04-2014"
"Susan G. Freed","Chevy Chase Trust","Freed Advisors","$0","04-03-2014"
"Albert Fox, Edward Penberthy, Joseph Dehn","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$600","03-27-2014"
"David Behar","Morgan Stanley Wealth Management","UBS Financial Services","$200","03-27-2014"
"Eugene C. Thompson IV","Capital Investment Co.","Wells Fargo Advisors","$65","03-27-2014"
"Mark Courtemanche","Capital Investment Co.","Argentus Advisors","$90","03-27-2014"
"Carrie S. Gallaway, Andrew L. Stern","Lebenthal Wealth Advisors","Morgan Stanley Wealth Management","$1,200","03-25-2014"
"Charles Wareham, Craig Breitsprecher, Tom Polowy, Vincent Winans","Independent Financial Group","LPL Financial","$95","03-25-2014"
"Paul J. Merz","Securities America","Valmark Securities","$84","03-24-2014"
"Michael A. Rosenthal","Retirement Benefits Group","LPL Financial","$0","03-20-2014"
"Nick Salvetti, A.J. Salvetti III","Raymond James","Bank of America Merrill Lynch","$210","03-19-2014"
"Martin Lutschaunig","Janney Montgomery Scott","Bank of America Merrill Lynch","$250","03-19-2014"
"James Elliott, Dana Wright, Gregory Frankos","Investacorp","LPL Financial","$68","03-19-2014"
"Francis Roche","Robert W. Baird & Co.","RBC Wealth Management","$0","03-18-2014"
"David Huffman, Aimee Boggs","Raymond James","Morgan Stanley Wealth Management","$180","03-18-2014"
"Thomas Nolan","Wells Fargo Advisors","Morgan Stanley Wealth Management","$100","03-18-2014"
"Mark Phillips","Wells Fargo Advisors","Morgan Stanley Wealth Management","$120","03-18-2014"
"Gary J. Parese","Wells Fargo Advisors","Morgan Stanley Wealth Management","$270","03-18-2014"
"Barry D. Masci","Wells Fargo Advisors","Morgan Stanley Wealth Management","$90","03-18-2014"
"Joanne Astle, Nick Astle, Mike Astle ","Raymond James","Bank of America Merrill Lynch","$200","03-12-2014"
"Luke Kuchenberg, Tyson Ray","Raymond James","Wells Fargo Advisors","$220","03-10-2014"
"John Lewis, Joe Bartholomew","BB&T Securities","Morgan Stanley Wealth Management","$900","03-10-2014"
"Jeffrey Schulte, James D. Hiles","Cantor Fitzgerald Wealth Partners","Mariner Wealth Advisors","$0","03-10-2014"
"Charles F. Fowler","Atlantic Trust","Altegris Investments","$0","03-10-2014"
"Gene Marx, Catherine Hunter","Raymond James","UBS Financial Services","$227","03-10-2014"
"Peggy Whitmore","CapTrust Financial Advisors","401(k) Advisors, Inc.","$0","03-10-2014"
"Howard D. Richards, Jim Goodland","NFP Advisor Services Group","Cambridge Investment Research","$175","03-06-2014"
"Kyle Gearhart","Raymond James","Bank of America Merrill Lynch","$300","03-06-2014"
"Paul C. Allen, David Schadel","Raymond James","Wiley Bros.-Aintree Capital","$200","03-04-2014"
"David Christian, Jeffrey Krum, Brian Hefele","Dynasty Financial Partners","Bank of America Merrill Lynch","$700","03-04-2014"
"James Wong, Matthew Barker, Justin Harris, Desiderio Rodriquez","Morgan Stanley Wealth Management","Wells Fargo Advisors","$264","03-03-2014"
"Daniel Tedesco, Dennis Madden","Morgan Stanley Wealth Management","UBS Financial Services","$161","03-03-2014"
"Thomas Dedrick, Pam Franklin","Raymond James","Bank of America Merrill Lynch","$162","02-27-2014"
"Kevin L. Baker, Dan Sullivan","J.P. Morgan Securities LLC","Bernstein Global Wealth Management","$0","02-27-2014"
"Darren Graff, Natalya Muravchik","J.P. Morgan Securities LLC","Bank of America Merrill Lynch","$0","02-27-2014"
"Roland Pritchett, Matthew R. Stucke","J.P. Morgan Securities LLC","UBS Financial Services","$0","02-27-2014"
"Rick Pignone","Steward Partners Global Advisory","Morgan Stanley Wealth Management","$240","02-26-2014"
"Chris Reaney","Steward Partners Global Advisory","Morgan Stanley Wealth Management","$110","02-26-2014"
"Ted Schwab","Steward Partners Global Advisory","Morgan Stanley Wealth Management","$130","02-26-2014"
"Ann B. Fleming, Thomas E. Turnbaugh  ","Raymond James","Wells Fargo Advisors","$140","02-26-2014"
"Jeffrey S. Vogel, Ruth Berger","Hightower Advisors","Bank of America Merrill Lynch","$300","02-24-2014"
"Troy W. Gaul","D.A. Davidson & Co.","Wells Fargo Advisors","$0","02-24-2014"
"Mark J. Grueninger, Benjamin C. Sauer","UBS Financial Services","Bank of America Merrill Lynch","$0","02-24-2014"
"Erik O. Strid, Gerald D. Strid, Paul F. Strid, Nathan J. Hayward, Thomas J. Greco","Dynasty Financial Partners","Wells Fargo Advisors","$300","02-21-2014"
"Michael Bromberg, Daniel Gerschel","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$400","02-20-2014"
"Peter J. Walsh, Lisa J. Walsh","Raymond James","Morgan Stanley Wealth Management","$225","02-20-2014"
"Ross Anderle","Sapient Private Wealth Management","RBC Wealth Management","$100","02-19-2014"
"Vladislav Krubich, Tony Mayo","LPL Financial","Ameriprise Financial","$0","02-19-2014"
"Satish Dharwadkar","MangoTree Capital","Bank of America Merrill Lynch","$35","02-19-2014"
"Gregory E. Kibler, Robert K. Hassmann","Summit Brokerage Services","MML Investors Services","$59","02-19-2014"
"Alex A. Gallego","Raymond James","Stifel Nicolaus & Co.","$94","02-18-2014"
"David Rodrigo, Jason Goldberg","Raymond James","Wells Fargo Advisors","$101","02-18-2014"
"Tim Marwill, Eric Wittek","RBC Wealth Management","Morgan Stanley Wealth Management","$0","02-12-2014"
"John J. Riffle, Patrick Easter, Terry Sherman, Michael Roche","RBC Wealth Management","Morgan Stanley Wealth Management","$0","02-12-2014"
"Yi Ping Chou","NPB Financial Group","Investacorp","$1,000","02-12-2014"
"Frederick Gollier, Michael Henning, Christopher Waters","Robert W. Baird & Co.","Wells Fargo Advisors","$215","02-10-2014"
"Lawrence I. Magid","Robert W. Baird & Co.","Wells Fargo Advisors","$60","02-10-2014"
"John T. Taylor III","Independent Financial Partners","Royal Alliance","$112","02-10-2014"
"Lisbeth L. Cherrington","FSC Securities","Morgan Stanley Wealth Management","$300","02-05-2014"
"Stephen B. Schuler","Bridgewater Wealth and Financial Management","Maryland Capital Management","$200","02-05-2014"
"Vance Boucher","Girard Securities","Commonwealth Financial Network","$55","02-04-2014"
"Mark A. Law","Commonwealth Financial Network","LPL Financial","$500","02-04-2014"
"Michael A. Rogers","LPL Financial","Commonwealth Financial Network","$150","02-04-2014"
"James P. Leslie","RBC Wealth Management","Wells Fargo Advisors","$140","02-03-2014"
"Jack W. Griffith, Jr., Jack W. Griffith, III, John W. Chapman","Janney Montgomery Scott","Ameriprise Financial","$101","01-31-2014"
"Katie Clark","RBC Wealth Management","Bank of America Merrill Lynch","$150","01-31-2014"
"Melanie Folstad","RBC Wealth Management","Bank of America Merrill Lynch","$110","01-31-2014"
"Joseph E. Fowler","Stratos Wealth Partners","Edward Jones","$0","01-30-2014"
"Lee B. Jones","Stratos Wealth Partners","Unionbanc Investment Services","$0","01-30-2014"
"Christopher E. Gaye","Prospera Financial Services","C. E. Gaye and Sons Securities","$200","01-30-2014"
"Timothy Kneen, Clayton Hartman","IFM Capital Advisors ","UBS Financial Services","$1,000","01-28-2014"
"William J. Drake","Stifel Nicolaus & Co.","Wells Fargo Advisors","$1,000","01-27-2014"
"Joseph W. Moyer","National Planning","LPL Financial","$60","01-24-2014"
"Peter Benson, Jonathan S. Maxson","Kalos Capital","Madison Avenue Securities","$85","01-24-2014"
"Steven M. Netzel","Kalos Capital","Madison Avenue Securities","$55","01-24-2014"
"Robert L. Chess, Robert L. Hawkins","Investacorp","Invest Financial","$150","01-24-2014"
"Mark E. Barczuk, David F. Moreno","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","01-23-2014"
"Tom Bedor, Laren Bedor","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","01-23-2014"
"Joan Levy Monder","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","01-23-2014"
"David W. Davies, Jill C. Miller, Kristen A. Ketchum","Benjamin F. Edwards & Co.","RBC Wealth Management","$0","01-23-2014"
"Kelly D. Kerr","RBC Wealth Management","UBS Financial Services","$115","01-23-2014"
"Michael Cott, Donald Nejedly","Morgan Stanley Wealth Management","RBC Wealth Management","$250","01-22-2014"
"J. Patrick Kearns","Morgan Stanley Wealth Management","Fulcrum Securities","$185","01-22-2014"
"Rodney A. Simms","Gradient Capital Advisors","Ameriprise Financial","$180","01-22-2014"
"Christopher Englebert, Daniel Reitz","Beirne Wealth Consulting","Morgan Stanley Wealth Management","$250","01-22-2014"
"J. Larry Mills, Christopher G. Venuti, Bryan Mountain, Marc Roggenkamp","Morgan Stanley Wealth Management","UBS Financial Services","$5,500","01-20-2014"
"Norman L. Oremland, Steven W. Goldfarb","Janney Montgomery Scott","UBS Financial Services","$97","01-17-2014"
"Mark S. Rothstein","Independent Financial Group","Purshe Kaplan Sterling Investments","$150","01-17-2014"
"Lawrence J. Zeller","Investors Capital","Royal Alliance","$89","01-17-2014"
"Michael T. Moriarty","Highline Wealth Management","Morgan Stanley Wealth Management","$0","01-15-2014"
"Aviva Pinto","Highline Wealth Management","OpenArc Asset Management","$0","01-15-2014"
"Keith Havalotti, Gerald Bonner, Jeanine Beratta","Investors Capital","MetLife Securities","$50","01-14-2014"
"S. Benjamin Weiner, Michael Hlavek, Duke Marsh, Daniel Iosue","Raymond James","Morgan Stanley Wealth Management","$550","01-14-2014"
"Ellen M. Duhamel, Thomas J. Dornoff","LPL Financial","Morgan Stanley Wealth Management","$130","01-13-2014"
"Michael L. Cope, William G. Marcoux","UBS Financial Services","Bank of America Merrill Lynch","$225","01-13-2014"
"Anthony Vaccaro, Jr., Bill Callis, Matt Ferrell","Raymond James","Southwest Securities","$0","01-08-2014"
"Alan J. Spilker","Raymond James","Bank of America Merrill Lynch","$0","01-08-2014"
"Jason Saunders, Stephanie E. Kelly, Kendall Acheson","Raymond James","Morgan Stanley Wealth Management","$308","01-08-2014"
"Thomas Smith, Dana Falco, Mel Lovelady","RBC Wealth Management","Covenant Multi Family","$200","01-06-2014"
"Melinda L. Olbert","Investors Capital","Voya Financial Advisors Partners","$120","01-06-2014"
"Terry Wiles, Ryan Smith","Raymond James","LPL Financial","$146","01-03-2014"
"Mark Kravietz","Hightower Advisors","UBS Financial Services","$300","01-03-2014"
"Jonathan A. Owenby, Jeffrey T. Jones","LPL Financial","Suntrust Investment Services","$150","01-03-2014"
"Marie H. Murdock","Morgan Stanley Wealth Management","UBS Financial Services","$0","01-03-2014"
"Bruce Gelfand","Wells Fargo Advisors","UBS Financial Services","$89","12-20-2013"
"Seth Diamond","Janney Montgomery Scott","Morgan Stanley Wealth Management","$58","12-20-2013"
"Scott Haley, Judy Mansfield, Jason Koptish, Scott Glaze","Raymond James","Wells Fargo Advisors","$210","12-20-2013"
"Joshua M. Bledsoe","Stifel Nicolaus & Co.","Bank of America Merrill Lynch","$0","12-20-2013"
"Kathy M. Keadle","Securities America","Lincoln Financial","$140","12-19-2013"
"John D. Kampen","B.C. Ziegler & Co.","Wells Fargo Advisors","$0","12-19-2013"
"Paul E. Housey","LPL Financial","Northstar Financial","$78","12-17-2013"
"Kelley F. Snook, Jr.","LPL Financial","Northstar Financial","$4,300","12-17-2013"
"Kevin J. Cross","Robert W. Baird & Co.","Charles Schwab","$400","12-17-2013"
"John Quello, Nathan Quello","Raymond James","UBS Financial Services","$325","12-16-2013"
"Daniel J. Rodriguez","Bank of America Merrill Lynch","Wells Fargo Advisors","$0","12-16-2013"
"Jeffrey Klinger","Bank of America Merrill Lynch","Credit Suisse Wealth Services","$0","12-16-2013"
"Rodney M. Woodley","Bank of America Merrill Lynch","UBS Financial Services","$130","12-16-2013"
"David Weigel, Steven Dimino","RBC Wealth Management","Morgan Stanley Wealth Management","$170","12-13-2013"
"Courtney Liddy","UBS Financial Services","Bank of America Merrill Lynch","$327","12-13-2013"
"Jennifer Daniels, Karen Levy","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$151","12-11-2013"
"Andrew Townes, Don Parsons, Charlie Mitchell ","Wells Fargo Advisors","UBS Financial Services","$255","12-11-2013"
"Thomas Penrose, Dave Engel","Wells Fargo Advisors","Morgan Stanley Wealth Management","$250","12-11-2013"
"John Feast, Mary Marett","Wells Fargo Advisors","Janney Montgomery Scott","$106","12-11-2013"
"Jay Arbetter ","UBS Financial Services","Bank of America Merrill Lynch","$175","12-10-2013"
"Jason Taraszki ","UBS Financial Services","Bank of America Merrill Lynch","$100","12-10-2013"
"Michael J. Sullivan","Stifel Nicolaus & Co.","Bank of America Merrill Lynch","$0","12-10-2013"
"John M. Cartolano Jr.","LPL Financial","Ameriprise Financial","$200","12-10-2013"
"Doug Noble, Greg Bowden, Rod Dahl","Raymond James","Wells Fargo Advisors","$220","12-05-2013"
"Paul Jarvis","United Capital","Bell State Bank & Trust","$160","12-05-2013"
"Terry Vrieze, Jayme Bresnahan, Edward Modglin, Peter Rothamel, Vincent Sturm","Investacorp","Broker Dealer Financial Services","$116","12-05-2013"
"Matthew Cunningham, Erik Williams","LPL Financial","Park Avenue Securities","$0","12-04-2013"
"Richard A. Rosenberg, Rosario J. Ruffino","Mariner Wealth Advisors","RR Advisory Group","$780","12-02-2013"
"Marguerita M. Cheng, Sameer S. Somal","Blue Ocean Global Wealth","Ameriprise Financial","$0","12-02-2013"
"Julie Lin","Ameriprise Financial","UBS Financial Services","$50","12-02-2013"
"James Carter","Ameriprise Financial","UBS Financial Services","$130","12-02-2013"
"Michael Cooper, Sidney Cooper","Ameriprise Financial","Morgan Stanley Wealth Management","$200","12-02-2013"
"Kevin Farrell, John Angiulli","Ameriprise Financial","PNC Investments ","$160","12-02-2013"
"Garth Ivey","Investacorp","Lincoln Financial","$45","12-02-2013"
"Charles Massimi, Bradley Silverman, Daniel Bruno ","Raymond James","Morgan Stanley Wealth Management","$154","11-26-2013"
"Andrew Jacobson, Shawn Hare, Gregory Hoelzel","Wells Fargo Advisors","Morgan Stanley Wealth Management","$185","11-26-2013"
"Roger Shaffer, Rhonda Lamb, Perry Neuman","Hightower Advisors","Suntrust Investment Services","$300","11-26-2013"
"W.F. Sanders Jr., J. Wesley Clayton, Henry (Moss) E. Crosby Jr., Michael P. Ahearn","Hightower Advisors","Morgan Stanley Wealth Management","$500","11-26-2013"
"Drew Grifo","Capital Investment Co.","Coventry Financial","$0","11-26-2013"
"Allen R. Burton (Ryan)","Capital Investment Co.","Wells Fargo Advisors","$35","11-26-2013"
"Joseph F. Beam","Capital Investment Co.","Suntrust Investment Services","$38","11-26-2013"
"Laurie C. Kamhi","Hightower Advisors","Bank of America Merrill Lynch","$320","11-26-2013"
"Richard B. Swift, Jeff A. Dakin","Raymond James","Morgan Stanley Wealth Management","$934","11-20-2013"
"Charles Andriole, Geoffrey G. Gregory, Matthew J. Montana","Hightower Advisors","Bank of America Merrill Lynch","$700","11-20-2013"
"Nancy J. Eshmont, Jeffrey N. Weiner, Brian H. Rubin","Benjamin F. Edwards & Co.","Wells Fargo Advisors","$0","11-20-2013"
"Arthur W. Bartholomew III","UBS Financial Services","Morgan Stanley Wealth Management","$200","11-18-2013"
"Peter J. Klein","Hightower Advisors","UBS Financial Services","$210","11-15-2013"
"Denis M. O'Brien","Raymond James","Morgan Stanley Wealth Management","$55","11-15-2013"
"Scott Pyle","Prospera Financial Services","Raymond James","$100","11-15-2013"
"Kendall Cotten","Bank of America Merrill Lynch","Goldman Sachs","$325","11-13-2013"
"Jonathan R. Blau","Dynasty Financial Partners","UBS Financial Services","$900","11-12-2013"
"Patrick Buchanan, Dominic Nori, Adam Goldstein","Raymond James","LPL Financial","$310","11-12-2013"
"Douglas P. Velnoskey","Janney Montgomery Scott","Morgan Stanley Wealth Management","$190","11-12-2013"
"John Goles, Steven DeBoy","Janney Montgomery Scott","RBC Wealth Management","$175","11-12-2013"
"Hal A. Lambert, Jeffrey D. Wildin","Dynasty Financial Partners","Credit Suisse Wealth Services","$1,000","11-12-2013"
"M. Scott Harries","UBS Financial Services","Bank of America Merrill Lynch","$500","11-08-2013"
"David Mandel","UBS Financial Services","Bank of America Merrill Lynch","$175","11-08-2013"
"Christopher S. Gaal, Jeffrey C. Hamilton","UBS Financial Services","Bank of America Merrill Lynch","$575","11-08-2013"
"James E. Chiate, Anthony D. Guinane","UBS Financial Services","Bank of America Merrill Lynch","$500","11-08-2013"
"James B. Axelson, Barry F. Porter","UBS Financial Services","Bank of America Merrill Lynch","$550","11-08-2013"
"Guy Nicosia, Gerard Nicosia, John Nicosia","Royal Alliance","Vanderbilt Securities","$150","11-07-2013"
"Matthew H. Fuller","Girard Securities","Raymond James","$105","11-06-2013"
"Gordon Yee, Darren Schneck, Ferdinand Dosono","SCF Securities","National Securities","$60","11-05-2013"
"Brent V. Lott","Girard Securities","LPL Financial","$71","11-05-2013"
"Mark Finnicum","Wells Fargo Advisors","Edward Jones","$86","11-01-2013"
"Douglas B. May, Barbara Traylor Smith","Avant-Garde Advisors","May-Investments Management","$68","11-01-2013"
"Mark Binder, Craig Chiate, Glenn Oratz, Scott Brown","UBS Financial Services","Bank of America Merrill Lynch","$3,100","10-31-2013"
"Joseph E. Opsahl, Christopher A. Hatfield","TRUE Private Wealth Advisors","Bank of America Merrill Lynch","$0","10-30-2013"
"Matthew J. Sotland, Donald J. Borowiak","Wells Fargo Advisors","UBS Financial Services","$129","10-30-2013"
"Craig French","WBI Investments","Lasair Capital","$2,400","10-29-2013"
"Mauricio Currea","Wayne Hummer Investments ","Popular Community Bank","$0","10-29-2013"
